call_id,agent_id,call_category,outcome,duration_seconds,customer_sentiment,agent_performance,resolution_confidence,fm_agent_loop,fm_wrong_escalation,fm_sentiment_mismatch,fm_incomplete_resolution,fm_excessive_duration,total_failures,qa_accuracy,qa_empathy,qa_efficiency,qa_resolution,qa_compliance,qa_total,main_issue,resolution_summary,key_moments,failure_indicators
CALL-00011,AGT-009,billing_dispute,escalated,58,-0.6,0.32,0.66,True,True,False,False,False,2,16.0,18.56,20.0,9.2,14.0,77.76,I was charged twice on my last bill and I need this fixed immediately.,Please hold while I transfer you. Thank you for your patience.,duplicate_charge,agent_loop
CALL-00012,AGT-009,billing_dispute,resolved,41,0.5,0.5,0.94,False,False,False,False,False,0,20.0,20.0,20.0,18.8,18.0,96.8,I was charged twice on my last bill and I need this fixed immediately.,Thank you for your patience. Is there anything else I can assist with?,duplicate_charge,none
CALL-00013,AGT-003,billing_dispute,resolved,60,0.325,0.74,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,There's an incorrect charge on my account. I never authorized this payment.,Thank you for your patience. Is there anything else I can assist with?,wrong_information_given,none
CALL-00014,AGT-004,product_inquiry,resolved,46,-0.175,0.32,0.7,False,False,True,False,False,1,20.0,10.56,20.0,14.0,18.0,82.56,I want to know if your premium plan includes API access.,Is there anything else I can help you with today?,escalating_emotion|inappropriate_tone,sentiment_mismatch
CALL-00015,AGT-009,product_inquiry,resolved,53,0.5,0.44,0.7,True,False,False,False,False,1,16.0,19.52,20.0,14.0,18.0,87.52,Does your product integrate with Salesforce and HubSpot?,I've noted everything on your account. Is there anything else?,none,agent_loop
CALL-00016,AGT-005,account_access,resolved,54,0.8667,0.86,0.86,False,False,False,False,False,0,5.0,20.0,20.0,17.2,10.0,72.2,My account appears to be locked and I don't know why.,I've noted everything on your account. Is there anything else?,none,wrong_information
CALL-00017,AGT-007,account_access,abandoned,36,-1.0,0.5,0.0,False,False,False,False,False,0,20.0,14.0,20.0,0.0,18.0,72.0,My account was suspended but I haven't violated any terms.,I'm restoring your account access now. Please try logging in again.,none,customer_abandoned
CALL-00018,AGT-008,account_access,escalated,53,-0.1,0.74,0.54,False,False,False,False,False,0,20.0,20.0,20.0,10.8,18.0,88.8,I can't log into my account. I've reset my password twice already.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00019,AGT-002,technical_support,abandoned,50,-1.0,0.62,0.0,False,False,False,False,False,0,20.0,14.96,20.0,0.0,18.0,72.96,I'm getting error code 502 every time I try to log in.,Can you try clearing your cache and restarting the application?,prior_self_service_failure|business_impact,customer_abandoned
CALL-00020,AGT-006,account_access,resolved,55,0.8667,0.74,0.86,False,False,False,False,False,0,20.0,20.0,20.0,17.2,18.0,95.2,My account appears to be locked and I don't know why.,I've noted everything on your account. Is there anything else?,wrong_information_given,none
CALL-00021,AGT-006,billing_dispute,abandoned,39,-0.9,0.86,0.0,False,False,False,False,False,0,20.0,16.88,20.0,0.0,18.0,74.88,My bill is way higher than it should be. Can you explain these charges?,I've located the duplicate charge. I'll initiate a refund right away.,duplicate_charge,customer_abandoned
CALL-00022,AGT-005,billing_dispute,resolved,49,0.95,1.0,0.86,False,False,False,False,False,0,20.0,20.0,20.0,17.2,18.0,95.2,I cancelled my subscription last month but you still charged me.,I've resolved that for you. Do you have any other questions?,duplicate_charge,none
CALL-00023,AGT-005,technical_support,resolved,43,0.325,0.5,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,My service has been down for three hours. What's going on?,Thank you for your patience. Is there anything else I can assist with?,extended_wait,none
CALL-00024,AGT-009,technical_support,escalated,66,-0.6,0.32,0.58,True,False,False,False,False,1,16.0,18.56,20.0,11.6,18.0,84.16,The app keeps crashing whenever I try to open it. This is unacceptable.,Please hold while I transfer you. Thank you for your patience.,business_impact,agent_loop
CALL-00025,AGT-005,product_inquiry,resolved,50,0.8667,0.5,0.7,False,False,False,False,False,0,15.0,20.0,20.0,14.0,18.0,87.0,I want to know if your premium plan includes API access.,Thank you for your patience. Is there anything else I can assist with?,none,wrong_information
CALL-00026,AGT-002,technical_support,abandoned,82,-1.0,0.53,0.0,False,False,False,False,True,1,20.0,14.24,6.0,0.0,18.0,58.24,I updated the firmware and now nothing works properly.,"Yes, I apologize for the wait. I'm still processing your request.",none,customer_abandoned|excessive_latency
CALL-00027,AGT-005,technical_support,abandoned,43,-1.0,0.5,0.0,False,False,False,False,False,0,20.0,14.0,20.0,0.0,18.0,72.0,The app keeps crashing whenever I try to open it. This is unacceptable.,Can you try clearing your cache and restarting the application?,none,customer_abandoned
CALL-00028,AGT-002,technical_support,resolved,40,0.8667,0.5,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,I updated the firmware and now nothing works properly.,Thank you for your patience. Is there anything else I can assist with?,none,none
CALL-00029,AGT-005,technical_support,resolved,51,0.0,0.2,0.7,True,False,False,False,False,1,16.0,17.6,20.0,14.0,18.0,85.6,My service has been down for three hours. What's going on?,Thank you for your patience. Is there anything else I can assist with?,extended_wait|prior_self_service_failure,agent_loop
CALL-00030,AGT-008,cancellation_request,resolved,56,0.95,0.74,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I need to cancel my subscription effective immediately.,Thank you for your patience. Is there anything else I can assist with?,none,none
CALL-00031,AGT-001,billing_dispute,abandoned,47,-1.0,0.74,0.0,False,False,False,False,False,0,20.0,15.92,20.0,0.0,18.0,73.92,I was charged twice on my last bill and I need this fixed immediately.,I understand your frustration. Let me pull up your account and review the charges.,repeat_issue|duplicate_charge,customer_abandoned
CALL-00032,AGT-002,billing_dispute,resolved,55,-0.175,0.56,0.78,False,False,True,False,False,1,20.0,12.48,20.0,15.6,18.0,86.08,My bill is way higher than it should be. Can you explain these charges?,I've resolved that for you. Do you have any other questions?,escalating_emotion|inappropriate_tone,sentiment_mismatch
CALL-00033,AGT-007,product_inquiry,resolved,62,0.5,0.98,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,Can I use your service in multiple countries simultaneously?,I've resolved that for you. Do you have any other questions?,none,none
CALL-00034,AGT-007,billing_dispute,resolved,36,-0.2167,1.0,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,There's an incorrect charge on my account. I never authorized this payment.,I've resolved that for you. Do you have any other questions?,repeat_issue|wrong_information_given,none
CALL-00035,AGT-005,product_inquiry,abandoned,53,-0.9,0.62,0.0,False,False,False,False,False,0,5.0,14.96,20.0,0.0,10.0,49.96,Does your product integrate with Salesforce and HubSpot?,I can send you our full privacy policy and data processing agreement.,none,customer_abandoned|wrong_information
CALL-00036,AGT-002,technical_support,resolved,43,0.8667,0.98,0.86,False,False,False,False,False,0,5.0,20.0,20.0,17.2,10.0,72.2,I'm getting error code 502 every time I try to log in.,I've resolved that for you. Do you have any other questions?,none,wrong_information
CALL-00037,AGT-010,product_inquiry,resolved,64,0.8667,0.29,0.7,True,False,False,False,False,1,16.0,18.32,20.0,14.0,18.0,86.32,I want to know if your premium plan includes API access.,Thank you for your patience. Is there anything else I can assist with?,none,loop_detection_failure|agent_loop
CALL-00038,AGT-005,technical_support,resolved,46,0.8667,0.62,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,My device isn't connecting to the network and I've tried everything.,Thank you for your patience. Is there anything else I can assist with?,none,none
CALL-00039,AGT-002,account_access,escalated,50,-0.1,0.74,0.66,False,True,False,False,False,1,20.0,20.0,20.0,9.2,14.0,83.2,I'm getting a two-factor authentication error even with the correct code.,Please hold while I transfer you. Thank you for your patience.,wrong_information_given,none
CALL-00040,AGT-008,cancellation_request,escalated,84,-0.1,0.29,0.58,True,False,False,False,True,2,16.0,18.32,12.0,11.6,18.0,75.92,I need to cancel my subscription effective immediately.,Please hold while I transfer you. Thank you for your patience.,none,loop_detection_failure|agent_loop
CALL-00041,AGT-009,billing_dispute,resolved,72,0.8667,0.29,0.86,True,False,False,False,False,1,16.0,18.32,20.0,17.2,15.0,86.52,I was promised a discount that never showed up on my invoice.,Your issue has been addressed. Is there anything else?,agent_loop_detected,agent_loop
CALL-00042,AGT-003,account_access,escalated,55,-0.1,0.74,0.74,False,True,False,False,False,1,20.0,20.0,20.0,10.8,14.0,84.8,I'm getting a two-factor authentication error even with the correct code.,Please hold while I transfer you. Thank you for your patience.,wrong_information_given,none
CALL-00043,AGT-004,billing_dispute,escalated,57,-1.0,0.62,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,There's an incorrect charge on my account. I never authorized this payment.,Please hold while I transfer you. Thank you for your patience.,repeat_issue|wrong_information_given,none
CALL-00044,AGT-003,billing_dispute,abandoned,85,-1.0,0.41,0.0,False,False,False,False,True,1,20.0,13.28,6.0,0.0,18.0,57.28,I was charged twice on my last bill and I need this fixed immediately.,"Yes, I apologize for the wait. I'm still processing your request.",duplicate_charge,customer_abandoned|excessive_latency
CALL-00045,AGT-002,technical_support,escalated,55,-0.1,0.44,0.58,True,False,False,False,False,1,16.0,19.52,20.0,11.6,18.0,85.12,I updated the firmware and now nothing works properly.,Please hold while I transfer you. Thank you for your patience.,none,agent_loop
CALL-00046,AGT-010,account_access,escalated,54,-0.1,0.74,0.54,False,False,False,False,False,0,20.0,20.0,20.0,10.8,18.0,88.8,I can't log into my account. I've reset my password twice already.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00047,AGT-002,cancellation_request,escalated,59,0.2333,0.86,0.66,False,True,False,False,False,1,20.0,20.0,20.0,9.2,14.0,83.2,I need to downgrade or cancel. The cost is too high for what I get.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00048,AGT-009,account_access,resolved,52,0.8667,0.74,0.78,False,False,False,False,False,0,10.0,20.0,20.0,15.6,10.0,75.6,I lost access to my email so now I can't verify my identity.,Thank you for your patience. Is there anything else I can assist with?,wrong_information_given,none
CALL-00049,AGT-002,billing_dispute,resolved,46,0.325,0.86,0.86,False,False,False,False,False,0,20.0,20.0,20.0,17.2,18.0,95.2,There's an incorrect charge on my account. I never authorized this payment.,Your issue has been addressed. Is there anything else?,duplicate_charge|wrong_information_given,none
CALL-00050,AGT-007,billing_dispute,resolved,54,0.0,1.0,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I cancelled my subscription last month but you still charged me.,I've noted everything on your account. Is there anything else?,repeat_issue|duplicate_charge,none
CALL-00051,AGT-007,technical_support,resolved,49,0.8667,0.98,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I'm getting error code 502 every time I try to log in.,I've resolved that for you. Do you have any other questions?,none,none
CALL-00052,AGT-006,product_inquiry,resolved,59,0.95,0.86,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,I need to know your data retention and privacy policies before signing up.,I've noted everything on your account. Is there anything else?,none,none
CALL-00053,AGT-005,account_access,resolved,54,0.8667,0.62,0.7,False,False,False,False,False,0,10.0,20.0,20.0,14.0,10.0,74.0,My account was suspended but I haven't violated any terms.,Thank you for your patience. Is there anything else I can assist with?,none,none
CALL-00054,AGT-002,product_inquiry,resolved,44,0.5,0.32,0.7,True,False,False,False,False,1,16.0,18.56,20.0,14.0,18.0,86.56,Can I use your service in multiple countries simultaneously?,Thank you for your patience. Is there anything else I can assist with?,none,agent_loop
CALL-00055,AGT-002,billing_dispute,abandoned,42,-1.0,0.5,0.0,False,False,False,False,False,0,20.0,14.0,20.0,0.0,18.0,72.0,I was promised a discount that never showed up on my invoice.,I can apply that discount retroactively. It should appear within 3-5 business days.,none,customer_abandoned
CALL-00056,AGT-006,billing_dispute,escalated,52,-0.1,0.62,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,I cancelled my subscription last month but you still charged me.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00057,AGT-006,billing_dispute,escalated,47,-0.1,0.86,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,I was promised a discount that never showed up on my invoice.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00058,AGT-009,technical_support,escalated,51,-0.6,0.62,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,The app keeps crashing whenever I try to open it. This is unacceptable.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00059,AGT-004,product_inquiry,escalated,79,-0.1,0.71,0.58,False,False,False,False,True,1,20.0,20.0,12.0,11.6,18.0,81.6,Does your product integrate with Salesforce and HubSpot?,Please hold while I transfer you. Thank you for your patience.,none,loop_detection_failure
CALL-00060,AGT-005,product_inquiry,resolved,52,0.95,0.62,0.7,False,False,False,False,False,0,15.0,20.0,20.0,14.0,18.0,87.0,What's the difference between the business and enterprise tiers?,Is there anything else I can help you with today?,none,wrong_information
CALL-00061,AGT-008,product_inquiry,resolved,53,0.8667,0.74,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,I want to know if your premium plan includes API access.,Is there anything else I can help you with today?,none,none
CALL-00062,AGT-009,billing_dispute,escalated,62,-1.0,0.86,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,My bill is way higher than it should be. Can you explain these charges?,Please hold while I transfer you. Thank you for your patience.,repeat_issue,none
CALL-00063,AGT-006,technical_support,escalated,62,-0.1,0.62,0.46,False,False,False,False,False,0,20.0,20.0,20.0,9.2,18.0,87.2,My device isn't connecting to the network and I've tried everything.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00064,AGT-004,cancellation_request,resolved,53,-0.175,0.32,0.7,False,False,True,False,False,1,20.0,10.56,20.0,14.0,18.0,82.56,I need to downgrade or cancel. The cost is too high for what I get.,Thank you for your patience. Is there anything else I can assist with?,escalating_emotion|inappropriate_tone,sentiment_mismatch
CALL-00065,AGT-003,technical_support,abandoned,40,-1.0,0.5,0.0,False,False,False,False,False,0,20.0,14.0,20.0,0.0,18.0,72.0,My service has been down for three hours. What's going on?,Have you tried uninstalling and reinstalling the latest version?,extended_wait,customer_abandoned
CALL-00066,AGT-008,technical_support,escalated,56,-0.6,0.74,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,My service has been down for three hours. What's going on?,Please hold while I transfer you. Thank you for your patience.,extended_wait,none
CALL-00067,AGT-001,account_access,resolved,39,0.8667,0.62,0.74,False,False,False,False,False,0,20.0,20.0,20.0,14.8,18.0,92.8,I can't log into my account. I've reset my password twice already.,Is there anything else I can help you with today?,wrong_information_given,none
CALL-00068,AGT-008,account_access,resolved,76,0.8667,0.71,0.78,False,False,False,False,True,1,20.0,20.0,12.0,15.6,18.0,85.6,My account appears to be locked and I don't know why.,Thank you for your patience. Is there anything else I can assist with?,none,loop_detection_failure
CALL-00069,AGT-002,account_access,escalated,67,-0.1,0.74,0.66,False,True,False,False,False,1,20.0,20.0,20.0,9.2,14.0,83.2,I lost access to my email so now I can't verify my identity.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00070,AGT-006,account_access,resolved,49,0.8667,0.62,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,My account appears to be locked and I don't know why.,Thank you for your patience. Is there anything else I can assist with?,none,none
CALL-00071,AGT-009,product_inquiry,escalated,77,-0.2667,0.71,0.58,False,False,False,False,True,1,15.0,20.0,12.0,11.6,18.0,76.6,What's the difference between the business and enterprise tiers?,Please hold while I transfer you. Thank you for your patience.,none,loop_detection_failure|wrong_information
CALL-00072,AGT-009,technical_support,escalated,66,-0.6,0.74,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,My service has been down for three hours. What's going on?,Please hold while I transfer you. Thank you for your patience.,extended_wait,none
CALL-00073,AGT-006,billing_dispute,resolved,54,-0.2167,1.0,0.86,False,False,False,False,False,0,20.0,20.0,20.0,17.2,18.0,95.2,I was charged twice on my last bill and I need this fixed immediately.,I've noted everything on your account. Is there anything else?,repeat_issue|duplicate_charge,none
CALL-00074,AGT-007,product_inquiry,resolved,50,0.8667,0.74,0.7,False,False,False,False,False,0,10.0,20.0,20.0,14.0,10.0,74.0,Can I use your service in multiple countries simultaneously?,Thank you for your patience. Is there anything else I can assist with?,none,none
CALL-00075,AGT-002,account_access,resolved,48,0.8667,0.74,0.86,False,False,False,False,False,0,20.0,20.0,20.0,17.2,18.0,95.2,I lost access to my email so now I can't verify my identity.,I've noted everything on your account. Is there anything else?,extended_wait|wrong_information_given,none
CALL-00076,AGT-008,billing_dispute,resolved,53,0.0,0.98,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I cancelled my subscription last month but you still charged me.,Is there anything else I can help you with today?,repeat_issue|duplicate_charge,none
CALL-00077,AGT-001,product_inquiry,resolved,38,0.325,0.62,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,Does your product integrate with Salesforce and HubSpot?,I've noted everything on your account. Is there anything else?,none,none
CALL-00078,AGT-009,technical_support,resolved,55,-0.175,0.2,0.78,False,False,True,False,False,1,20.0,9.6,20.0,15.6,18.0,83.2,I updated the firmware and now nothing works properly.,Your issue has been addressed. Is there anything else?,escalating_emotion|inappropriate_tone,sentiment_mismatch
CALL-00079,AGT-008,account_access,escalated,72,-0.1,0.71,0.66,False,True,False,False,False,1,20.0,20.0,20.0,9.2,14.0,83.2,I'm getting a two-factor authentication error even with the correct code.,Please hold while I transfer you. Thank you for your patience.,none,loop_detection_failure
CALL-00080,AGT-005,account_access,resolved,54,0.8667,0.56,0.78,True,False,False,False,False,1,16.0,20.0,20.0,15.6,18.0,89.6,I'm getting a two-factor authentication error even with the correct code.,I've resolved that for you. Do you have any other questions?,none,agent_loop
CALL-00081,AGT-007,billing_dispute,escalated,57,0.2333,0.86,0.74,False,True,False,False,False,1,20.0,20.0,20.0,10.8,14.0,84.8,My bill is way higher than it should be. Can you explain these charges?,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00082,AGT-001,technical_support,abandoned,41,-1.0,0.2,0.0,True,False,False,False,False,1,16.0,11.6,20.0,0.0,18.0,65.6,My device isn't connecting to the network and I've tried everything.,Have you tried uninstalling and reinstalling the latest version?,none,customer_abandoned|agent_loop
CALL-00083,AGT-005,billing_dispute,resolved,56,-0.2167,1.0,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,There's an incorrect charge on my account. I never authorized this payment.,I've noted everything on your account. Is there anything else?,repeat_issue|duplicate_charge|wrong_information_given,none
CALL-00084,AGT-001,cancellation_request,resolved,49,0.8667,0.86,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I need to cancel my subscription effective immediately.,I've noted everything on your account. Is there anything else?,none,none
CALL-00085,AGT-008,cancellation_request,resolved,39,0.8667,0.62,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I need to downgrade or cancel. The cost is too high for what I get.,Your issue has been addressed. Is there anything else?,none,none
CALL-00086,AGT-008,technical_support,resolved,50,0.8667,0.98,0.66,False,False,False,False,False,0,20.0,20.0,20.0,13.2,18.0,91.2,I updated the firmware and now nothing works properly.,I've resolved that for you. Do you have any other questions?,business_impact,none
CALL-00087,AGT-001,billing_dispute,resolved,56,0.325,0.98,0.86,False,False,False,False,False,0,10.0,20.0,20.0,17.2,10.0,77.2,There's an incorrect charge on my account. I never authorized this payment.,Your issue has been addressed. Is there anything else?,duplicate_charge|wrong_information_given,none
CALL-00088,AGT-001,technical_support,resolved,44,0.325,0.74,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,The app keeps crashing whenever I try to open it. This is unacceptable.,Is there anything else I can help you with today?,none,none
CALL-00089,AGT-001,account_access,escalated,75,-0.1,0.41,0.54,True,False,False,False,True,2,16.0,19.28,12.0,10.8,15.0,73.08,I can't log into my account. I've reset my password twice already.,Please hold while I transfer you. Thank you for your patience.,agent_loop_detected,agent_loop
CALL-00090,AGT-010,technical_support,resolved,57,0.8667,0.74,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,I'm getting error code 502 every time I try to log in.,I've noted everything on your account. Is there anything else?,business_impact,none
CALL-00091,AGT-003,account_access,abandoned,31,-1.0,0.62,0.0,False,False,False,False,False,0,20.0,14.96,20.0,0.0,18.0,72.96,My account was suspended but I haven't violated any terms.,Let me verify your identity before we make any changes to the account.,none,customer_abandoned
CALL-00092,AGT-009,billing_dispute,escalated,61,-0.2667,0.56,0.82,True,True,False,False,False,2,16.0,20.0,20.0,12.4,14.0,82.4,I was charged twice on my last bill and I need this fixed immediately.,Please hold while I transfer you. Thank you for your patience.,duplicate_charge,agent_loop
CALL-00093,AGT-008,account_access,resolved,44,0.8667,0.62,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I'm getting a two-factor authentication error even with the correct code.,I've noted everything on your account. Is there anything else?,extended_wait,none
CALL-00094,AGT-007,technical_support,resolved,54,0.325,0.44,0.58,True,False,False,False,False,1,16.0,19.52,20.0,11.6,18.0,85.12,My service has been down for three hours. What's going on?,Is there anything else I can help you with today?,extended_wait|business_impact,agent_loop
CALL-00095,AGT-004,product_inquiry,resolved,52,0.325,0.62,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,Can I use your service in multiple countries simultaneously?,Your issue has been addressed. Is there anything else?,none,none
CALL-00096,AGT-002,technical_support,abandoned,53,-1.0,0.47,0.0,False,False,True,False,False,1,20.0,5.76,20.0,0.0,18.0,63.76,I'm getting error code 502 every time I try to log in.,Excellent! Everything looks perfect on our end.,escalating_emotion,customer_abandoned
CALL-00097,AGT-001,billing_dispute,abandoned,46,-1.0,0.74,0.0,False,False,False,False,False,0,20.0,15.92,20.0,0.0,18.0,73.92,I was charged twice on my last bill and I need this fixed immediately.,I understand your frustration. Let me pull up your account and review the charges.,duplicate_charge,customer_abandoned
CALL-00098,AGT-010,product_inquiry,abandoned,50,-1.0,0.2,0.0,False,False,True,False,False,1,20.0,3.6,20.0,0.0,18.0,61.6,Can I use your service in multiple countries simultaneously?,Wonderful! Have a fantastic day!,escalating_emotion|inappropriate_tone,customer_abandoned|sentiment_mismatch
CALL-00099,AGT-010,product_inquiry,abandoned,51,-0.9,0.62,0.0,False,False,False,False,False,0,15.0,14.96,20.0,0.0,18.0,67.96,Does your product integrate with Salesforce and HubSpot?,Great question. Let me pull up the full feature comparison for you.,none,customer_abandoned|wrong_information
CALL-00100,AGT-001,cancellation_request,resolved,36,0.8667,0.5,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I need to downgrade or cancel. The cost is too high for what I get.,Your issue has been addressed. Is there anything else?,none,none
CALL-00101,AGT-007,billing_dispute,escalated,57,0.2333,0.62,0.74,False,True,False,False,False,1,20.0,20.0,20.0,10.8,14.0,84.8,I was promised a discount that never showed up on my invoice.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00102,AGT-002,technical_support,resolved,45,0.0,0.74,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,The app keeps crashing whenever I try to open it. This is unacceptable.,I've noted everything on your account. Is there anything else?,prior_self_service_failure,none
CALL-00103,AGT-006,billing_dispute,resolved,60,0.8667,0.86,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I was promised a discount that never showed up on my invoice.,Thank you for your patience. Is there anything else I can assist with?,duplicate_charge,none
CALL-00104,AGT-006,technical_support,resolved,36,0.8667,0.74,0.7,False,False,False,False,False,0,20.0,20.0,20.0,14.0,18.0,92.0,I updated the firmware and now nothing works properly.,Is there anything else I can help you with today?,none,none
CALL-00105,AGT-007,technical_support,resolved,82,0.0,0.65,0.7,False,False,False,False,True,1,20.0,20.0,6.0,14.0,18.0,78.0,I updated the firmware and now nothing works properly.,Is there anything else I can help you with today?,none,excessive_latency
CALL-00106,AGT-007,account_access,resolved,39,0.8667,0.86,0.78,False,False,False,False,False,0,20.0,20.0,20.0,15.6,18.0,93.6,I lost access to my email so now I can't verify my identity.,I've resolved that for you. Do you have any other questions?,none,none
CALL-00107,AGT-002,cancellation_request,escalated,67,0.2333,0.74,0.58,False,False,False,False,False,0,20.0,20.0,20.0,11.6,18.0,89.6,I want to cancel. The service isn't meeting my expectations.,Please hold while I transfer you. Thank you for your patience.,none,none
CALL-00108,AGT-006,account_access,escalated,55,-0.1,0.44,0.66,True,True,False,False,False,2,16.0,19.52,20.0,9.2,14.0,78.72,My account appears to be locked and I don't know why.,Please hold while I transfer you. Thank you for your patience.,none,agent_loop
CALL-00109,AGT-008,product_inquiry,resolved,46,0.8667,0.2,0.78,True,False,False,False,False,1,16.0,17.6,20.0,15.6,18.0,87.2,Can I use your service in multiple countries simultaneously?,Your issue has been addressed. Is there anything else?,none,agent_loop
